Reaction,Category
EX_2hg_e,Organic Acids
EX_2kgnd_e,Sugar Acids
EX_3amp_e,Nucleotides/Nucleosides
EX_3pg_e,Sugar Acids
EX_3ump_e,Nucleotides/Nucleosides
EX_4abut_e,Organic Acids
EX_4hphac_e,Organic Acids
EX_5htrp_e,Amino Acids/Peptides
EX_5mcsn_e,Nucleotides/Nucleosides
EX_6pgc_e,Sugar Acids
EX_acgam1p_e,Sugars
EX_acmana_e,Sugars
EX_acnam_e,Sugar Acids
EX_acon_C_e,Organic Acids
EX_adn_e,Nucleotides/Nucleosides
EX_akg_e,Organic Acids
EX_ala__L_e,Amino Acids/Peptides
EX_ala_gln_e,Amino Acids/Peptides
EX_ala_L_asp__L_e,Amino Acids/Peptides
EX_ala_L_thr__L_e,Amino Acids/Peptides
EX_ala_leu_e,Amino Acids/Peptides
EX_alaala_e,Amino Acids/Peptides
EX_alagly_e,Amino Acids/Peptides
EX_amp_e,Nucleotides/Nucleosides
EX_arg__L_e,Amino Acids/Peptides
EX_argp_e,Amino Acids/Peptides
EX_asn__L_e,Amino Acids/Peptides
EX_asp__D_e,Amino Acids/Peptides
EX_asp__L_e,Amino Acids/Peptides
EX_balabala_e,Amino Acids/Peptides
EX_bz_e,Organic Acids
EX_ca2_e,Inorganic Compounds
EX_campst_e,Steroids
EX_ch4s_e,Other
EX_chor_e,Organic Acids
EX_cit_e,Organic Acids
EX_citr__L_e,Amino Acids/Peptides
EX_cl_e,Inorganic Compounds
EX_cmp_e,Nucleotides/Nucleosides
EX_coa_e,Vitamins/Cofactors
EX_cobalt2_e,Inorganic Compounds
EX_cu2_e,Inorganic Compounds
EX_cys__L_e,Amino Acids/Peptides
EX_cyst__L_e,Amino Acids/Peptides
EX_cytd_e,Nucleotides/Nucleosides
EX_dad_2_e,Nucleotides/Nucleosides
EX_ddca_e,Fatty Acids
EX_dgsn_e,Nucleotides/Nucleosides
EX_dhap_e,Sugars
EX_dtmp_e,Nucleotides/Nucleosides
EX_ergst_e,Steroids
