,drop_1056.pkl,drop_1056.pkl,drop_1056.pkl,drop_1056.pkl,drop_1432.pkl,drop_1432.pkl,drop_1432.pkl,drop_1432.pkl,drop_1124.pkl,drop_1124.pkl,drop_1124.pkl,drop_1124.pkl,drop_364.pkl,drop_364.pkl,drop_364.pkl,drop_364.pkl,drop_2774.pkl,drop_2774.pkl,drop_2774.pkl,drop_2774.pkl,drop_1234.pkl,drop_1234.pkl,drop_1234.pkl,drop_1234.pkl,drop_230.pkl,drop_230.pkl,drop_230.pkl,drop_230.pkl,drop_2862.pkl,drop_2862.pkl,drop_2862.pkl,drop_2862.pkl,drop_793.pkl,drop_793.pkl,drop_793.pkl,drop_793.pkl,drop_867.pkl,drop_867.pkl,drop_867.pkl,drop_867.pkl,drop_868.pkl,drop_868.pkl,drop_868.pkl,drop_868.pkl,drop_1174.pkl,drop_1174.pkl,drop_1174.pkl,drop_1174.pkl,drop_2872.pkl,drop_2872.pkl,drop_2872.pkl,drop_2872.pkl,drop_946.pkl,drop_946.pkl,drop_946.pkl,drop_946.pkl,drop_778.pkl,drop_778.pkl,drop_778.pkl,drop_778.pkl,drop_100.pkl,drop_100.pkl,drop_100.pkl,drop_100.pkl,drop_1334.pkl,drop_1334.pkl,drop_1334.pkl,drop_1334.pkl,drop_352.pkl,drop_352.pkl,drop_352.pkl,drop_352.pkl,drop_1167.pkl,drop_1167.pkl,drop_1167.pkl,drop_1167.pkl,drop_163.pkl,drop_163.pkl,drop_163.pkl,drop_163.pkl,drop_644.pkl,drop_644.pkl,drop_644.pkl,drop_644.pkl,drop_892.pkl,drop_892.pkl,drop_892.pkl,drop_892.pkl,drop_504.pkl,drop_504.pkl,drop_504.pkl,drop_504.pkl,drop_761.pkl,drop_761.pkl,drop_761.pkl,drop_761.pkl,drop_1391.pkl,drop_1391.pkl,drop_1391.pkl,drop_1391.pkl,drop_1018.pkl,drop_1018.pkl,drop_1018.pkl,drop_1018.pkl,drop_161.pkl,drop_161.pkl,drop_161.pkl,drop_161.pkl
,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites
taxa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0.038461538461538464,5.855111224482594,2180.0,1434.0,0.038461538461538464,5.897598012958538,2180.0,1434.0,0.038461538461538464,5.441920461931085,2180.0,1434.0,0.038461538461538464,5.961813120685293,2180.0,1434.0,0.038461538461538464,5.946398956876726,2180.0,1434.0,0.038461538461538464,5.873800651633418,2180.0,1434.0,0.038461538461538464,5.836135788302932,2180.0,1434.0,0.038461538461538464,5.855231518468609,2180.0,1434.0,0.038461538461538464,5.8553107753780935,2180.0,1434.0,0.038461538461538464,5.836391729782716,2180.0,1434.0,0.038461538461538464,5.897553053253989,2180.0,1434.0,0.038461538461538464,5.855439891958507,2180.0,1434.0,0.038461538461538464,5.858905159784319,2180.0,1434.0,0.038461538461538464,5.855229199166989,2180.0,1434.0,0.038461538461538464,5.855314647728888,2180.0,1434.0,,,,,0.038461538461538464,5.921954756723534,2180.0,1434.0,0.038461538461538464,5.897530216503976,2180.0,1434.0,0.038461538461538464,5.835907092036082,2180.0,1434.0,0.038461538461538464,5.921480740853148,2180.0,1434.0,0.038461538461538464,5.8977082223596335,2180.0,1434.0,0.038461538461538464,5.837490536904733,2180.0,1434.0,0.038461538461538464,5.889268419588483,2180.0,1434.0,0.038461538461538464,5.897481848437957,2180.0,1434.0,0.038461538461538464,6.014174298464212,2180.0,1434.0,0.038461538461538464,5.897639757653004,2180.0,1434.0,0.038461538461538464,5.897744360509712,2180.0,1434.0
1018,0.038461538461538464,6.409848439856047,2977.0,1907.0,0.038461538461538464,6.409852639604454,2977.0,1907.0,0.038461538461538464,6.113358183685047,2977.0,1907.0,0.038461538461538464,6.94062823645868,2977.0,1907.0,0.038461538461538464,6.613781801986814,2977.0,1907.0,0.038461538461538464,6.4432907417682665,2977.0,1907.0,0.038461538461538464,6.409836961919128,2977.0,1907.0,0.038461538461538464,6.409827030024074,2977.0,1907.0,0.038461538461538464,6.409845253556956,2977.0,1907.0,0.038461538461538464,6.409847954146755,2977.0,1907.0,0.038461538461538464,6.4098624074115085,2977.0,1907.0,0.038461538461538464,6.983164597686734,2977.0,1907.0,0.038461538461538464,6.409662685104305,2977.0,1907.0,0.038461538461538464,6.409841646673579,2977.0,1907.0,0.038461538461538464,6.409821125946949,2977.0,1907.0,0.038461538461538464,6.409876240835762,2977.0,1907.0,0.038461538461538464,6.485770561948004,2977.0,1907.0,0.038461538461538464,6.409872867878556,2977.0,1907.0,0.038461538461538464,6.409848646357985,2977.0,1907.0,0.038461538461538464,6.4561566197559,2977.0,1907.0,0.038461538461538464,6.614174099265348,2977.0,1907.0,0.038461538461538464,6.40975298102714,2977.0,1907.0,0.038461538461538464,8.227038281231762,2977.0,1907.0,0.038461538461538464,6.6141242030719045,2977.0,1907.0,0.038461538461538464,6.683133073578252,2977.0,1907.0,,,,,0.038461538461538464,6.457004181781636,2977.0,1907.0
1124,0.038461538461538464,0.1246672238569988,2164.0,1415.0,0.038461538461538464,0.2306107004646554,2164.0,1415.0,,,,,0.038461538461538464,0.4786705559130423,2164.0,1415.0,0.038461538461538464,1.012591510634421,2164.0,1415.0,0.038461538461538464,0.15042915812776833,2164.0,1415.0,0.038461538461538464,0.09621906918614756,2164.0,1415.0,0.038461538461538464,0.10011489628661024,2164.0,1415.0,0.038461538461538464,0.10778494929387016,2164.0,1415.0,0.038461538461538464,0.08482230822295352,2164.0,1415.0,0.038461538461538464,0.23694667755437826,2164.0,1415.0,0.038461538461538464,0.09616509186502395,2164.0,1415.0,0.038461538461538464,0.12824689218130764,2164.0,1415.0,0.038461538461538464,0.05485871399907668,2164.0,1415.0,0.038461538461538464,0.00011381466099029947,2164.0,1415.0,0.038461538461538464,0.18487494477594668,2164.0,1415.0,0.038461538461538464,0.16051749113587846,2164.0,1415.0,0.038461538461538464,0.22196115683568446,2164.0,1415.0,0.038461538461538464,0.10417945080795249,2164.0,1415.0,0.038461538461538464,0.32653451076436146,2164.0,1415.0,0.038461538461538464,0.7181374692759959,2164.0,1415.0,0.038461538461538464,0.4708456083682742,2164.0,1415.0,0.038461538461538464,0.17317215746392747,2164.0,1415.0,0.038461538461538464,0.17568905042085448,2164.0,1415.0,0.038461538461538464,0.5767868441722037,2164.0,1415.0,0.038461538461538464,0.8369798927228644,2164.0,1415.0,0.038461538461538464,0.3969260741613241,2164.0,1415.0
1167,0.038461538461538464,6.332139131229882,1939.0,1267.0,0.038461538461538464,6.37793274185175,1939.0,1267.0,0.038461538461538464,6.331466784000547,1939.0,1267.0,0.038461538461538464,6.401117489540211,1939.0,1267.0,0.038461538461538464,6.408521836684508,1939.0,1267.0,0.038461538461538464,6.3323383783832705,1939.0,1267.0,0.038461538461538464,6.332361305347233,1939.0,1267.0,0.038461538461538464,6.332258191459211,1939.0,1267.0,0.038461538461538464,6.332165509876335,1939.0,1267.0,0.038461538461538464,6.3323298833823225,1939.0,1267.0,0.038461538461538464,6.377281632992639,1939.0,1267.0,0.038461538461538464,6.333277975458917,1939.0,1267.0,0.038461538461538464,6.332043823913891,1939.0,1267.0,0.038461538461538464,6.332068476898188,1939.0,1267.0,0.038461538461538464,6.331896847793578,1939.0,1267.0,0.038461538461538464,6.377356592452713,1939.0,1267.0,0.038461538461538464,6.35960069073001,1939.0,1267.0,0.038461538461538464,6.377805557778936,1939.0,1267.0,,,,,0.038461538461538464,6.378058623711319,1939.0,1267.0,0.038461538461538464,6.3781967160071105,1939.0,1267.0,0.038461538461538464,6.378033566358291,1939.0,1267.0,0.038461538461538464,6.335558274959428,1939.0,1267.0,0.038461538461538464,6.377728181139938,1939.0,1267.0,0.038461538461538464,6.446542341072262,1939.0,1267.0,0.038461538461538464,6.366170748442494,1939.0,1267.0,0.038461538461538464,6.3782850497850845,1939.0,1267.0
1174,0.038461538461538464,8.373434457154918,2696.0,1791.0,0.038461538461538464,7.6626503141498725,2696.0,1791.0,0.038461538461538464,8.906502712647223,2696.0,1791.0,0.038461538461538464,8.713864048372082,2696.0,1791.0,0.038461538461538464,7.077749640089606,2696.0,1791.0,0.038461538461538464,8.91966147415337,2696.0,1791.0,0.038461538461538464,8.73676747071883,2696.0,1791.0,0.038461538461538464,8.630159231062677,2696.0,1791.0,0.038461538461538464,8.234602062567307,2696.0,1791.0,0.038461538461538464,8.687962620029428,2696.0,1791.0,0.038461538461538464,7.925775480384647,2696.0,1791.0,,,,,0.038461538461538464,8.201925139501,2696.0,1791.0,0.038461538461538464,8.19232503955361,2696.0,1791.0,0.038461538461538464,8.664714030380825,2696.0,1791.0,0.038461538461538464,7.756829238194425,2696.0,1791.0,0.038461538461538464,8.887320918054199,2696.0,1791.0,0.038461538461538464,7.880252365982366,2696.0,1791.0,0.038461538461538464,8.514579693959947,2696.0,1791.0,0.038461538461538464,7.448266188410583,2696.0,1791.0,0.038461538461538464,7.377004030592269,2696.0,1791.0,0.038461538461538464,7.847728192826176,2696.0,1791.0,0.038461538461538464,8.921028956548495,2696.0,1791.0,0.038461538461538464,7.394368858581941,2696.0,1791.0,0.038461538461538464,7.451001163403723,2696.0,1791.0,0.038461538461538464,7.181162902133502,2696.0,1791.0,0.038461538461538464,7.7003643478838315,2696.0,1791.0
1234,0.038461538461538464,14.8901541781597,2805.0,1837.0,0.038461538461538464,14.871127885488942,2805.0,1837.0,0.038461538461538464,15.233265868043302,2805.0,1837.0,0.038461538461538464,14.604979627613325,2805.0,1837.0,0.038461538461538464,14.78515589724215,2805.0,1837.0,,,,,0.038461538461538464,15.023986997894276,2805.0,1837.0,0.038461538461538464,14.942187324820553,2805.0,1837.0,0.038461538461538464,14.975726645422824,2805.0,1837.0,0.038461538461538464,15.198043623567386,2805.0,1837.0,0.038461538461538464,14.89503731189482,2805.0,1837.0,0.038461538461538464,15.410488342911961,2805.0,1837.0,0.038461538461538464,14.983711696089753,2805.0,1837.0,0.038461538461538464,15.17832213933016,2805.0,1837.0,0.038461538461538464,14.844869233538699,2805.0,1837.0,0.038461538461538464,14.927360651399528,2805.0,1837.0,0.038461538461538464,14.525834154492374,2805.0,1837.0,0.038461538461538464,14.884553724530907,2805.0,1837.0,0.038461538461538464,14.961638295147909,2805.0,1837.0,0.038461538461538464,14.728263606487467,2805.0,1837.0,0.038461538461538464,14.512302455948335,2805.0,1837.0,0.038461538461538464,14.894113385019757,2805.0,1837.0,0.038461538461538464,14.84338388922879,2805.0,1837.0,0.038461538461538464,14.94126293346354,2805.0,1837.0,0.038461538461538464,14.631956699887777,2805.0,1837.0,0.038461538461538464,14.687800575304033,2805.0,1837.0,0.038461538461538464,14.89930379071156,2805.0,1837.0
1334,0.038461538461538464,5.649788481169387,2543.0,1658.0,0.038461538461538464,5.616595033563646,2543.0,1658.0,0.038461538461538464,5.087839411332195,2543.0,1658.0,0.038461538461538464,6.430139386914762,2543.0,1658.0,0.038461538461538464,5.611190135335506,2543.0,1658.0,0.038461538461538464,5.583742876155699,2543.0,1658.0,0.038461538461538464,5.408817708172505,2543.0,1658.0,0.038461538461538464,5.633176751128464,2543.0,1658.0,0.038461538461538464,5.659955755762873,2543.0,1658.0,0.038461538461538464,5.453589822196718,2543.0,1658.0,0.038461538461538464,5.629442577012942,2543.0,1658.0,0.038461538461538464,5.7145064664353065,2543.0,1658.0,0.038461538461538464,5.40444630257512,2543.0,1658.0,0.038461538461538464,5.66535224741565,2543.0,1658.0,0.038461538461538464,5.645487748427277,2543.0,1658.0,0.038461538461538464,5.440965205186197,2543.0,1658.0,,,,,0.038461538461538464,5.653624113691599,2543.0,1658.0,0.038461538461538464,5.663313200463702,2543.0,1658.0,0.038461538461538464,5.634372857337038,2543.0,1658.0,0.038461538461538464,5.662537967098082,2543.0,1658.0,0.038461538461538464,5.63019337890313,2543.0,1658.0,0.038461538461538464,5.706566904969248,2543.0,1658.0,0.038461538461538464,5.857661295229647,2543.0,1658.0,0.038461538461538464,5.4502019141916636,2543.0,1658.0,0.038461538461538464,5.681137336851509,2543.0,1658.0,0.038461538461538464,5.626193540415844,2543.0,1658.0
1391,0.038461538461538464,6.8740549791012775,2177.0,1435.0,0.038461538461538464,6.875458306783548,2177.0,1435.0,0.038461538461538464,6.1126569599178735,2177.0,1435.0,0.038461538461538464,6.144658300712586,2177.0,1435.0,0.038461538461538464,7.0285166642495165,2177.0,1435.0,0.038461538461538464,6.938145584604021,2177.0,1435.0,0.038461538461538464,6.872008587964951,2177.0,1435.0,0.038461538461538464,6.8742734959345375,2177.0,1435.0,0.038461538461538464,6.87408286007481,2177.0,1435.0,0.038461538461538464,6.870890354227394,2177.0,1435.0,0.038461538461538464,6.874981909300516,2177.0,1435.0,0.038461538461538464,6.875621730406951,2177.0,1435.0,0.038461538461538464,6.87472733215571,2177.0,1435.0,0.038461538461538464,6.874046318030841,2177.0,1435.0,0.038461538461538464,6.873935699650577,2177.0,1435.0,0.038461538461538464,6.875230683912202,2177.0,1435.0,0.038461538461538464,6.1007423068941184,2177.0,1435.0,0.038461538461538464,6.874908933551615,2177.0,1435.0,0.038461538461538464,6.87406044829442,2177.0,1435.0,0.038461538461538464,6.882794108572819,2177.0,1435.0,0.038461538461538464,7.065904352690838,2177.0,1435.0,0.038461538461538464,6.883201011936897,2177.0,1435.0,0.038461538461538464,6.909822174485714,2177.0,1435.0,0.038461538461538464,7.605982854700987,2177.0,1435.0,,,,,0.038461538461538464,7.094345031969404,2177.0,1435.0,0.038461538461538464,6.882873951786804,2177.0,1435.0
