,community_growth
drop_997.pkl,5.882874064122476
drop_1357.pkl,5.88152724216991
drop_397.pkl,5.900497538377311
drop_1234.pkl,5.833211406895065
drop_262.pkl,5.921712158963849
drop_1252.pkl,5.904064838372226
drop_1174.pkl,5.929244703891607
drop_1338.pkl,5.856897267760354
drop_2751.pkl,6.080421520847364
drop_978.pkl,6.003900533752435
drop_1114.pkl,6.084812646997475
drop_895.pkl,6.016280461432163
drop_939.pkl,5.810589203477225
drop_1334.pkl,6.011279373861776
drop_638.pkl,5.975774224861951
drop_1350.pkl,6.029970828559005
drop_709.pkl,6.031150982853797
drop_1362.pkl,5.890631473288579
drop_1101.pkl,5.882873564875069
drop_947.pkl,5.899247422602138
drop_1208.pkl,6.05922878597209
drop_790.pkl,5.865484957256707
drop_428.pkl,5.879028838684248
drop_459.pkl,5.85857778706608
