,drop_997.pkl,drop_997.pkl,drop_997.pkl,drop_997.pkl,drop_1357.pkl,drop_1357.pkl,drop_1357.pkl,drop_1357.pkl,drop_397.pkl,drop_397.pkl,drop_397.pkl,drop_397.pkl,drop_1234.pkl,drop_1234.pkl,drop_1234.pkl,drop_1234.pkl,drop_262.pkl,drop_262.pkl,drop_262.pkl,drop_262.pkl,drop_1252.pkl,drop_1252.pkl,drop_1252.pkl,drop_1252.pkl,drop_1174.pkl,drop_1174.pkl,drop_1174.pkl,drop_1174.pkl,drop_1338.pkl,drop_1338.pkl,drop_1338.pkl,drop_1338.pkl,drop_2751.pkl,drop_2751.pkl,drop_2751.pkl,drop_2751.pkl,drop_978.pkl,drop_978.pkl,drop_978.pkl,drop_978.pkl,drop_1114.pkl,drop_1114.pkl,drop_1114.pkl,drop_1114.pkl,drop_895.pkl,drop_895.pkl,drop_895.pkl,drop_895.pkl,drop_939.pkl,drop_939.pkl,drop_939.pkl,drop_939.pkl,drop_1334.pkl,drop_1334.pkl,drop_1334.pkl,drop_1334.pkl,drop_638.pkl,drop_638.pkl,drop_638.pkl,drop_638.pkl,drop_1350.pkl,drop_1350.pkl,drop_1350.pkl,drop_1350.pkl,drop_709.pkl,drop_709.pkl,drop_709.pkl,drop_709.pkl,drop_1362.pkl,drop_1362.pkl,drop_1362.pkl,drop_1362.pkl,drop_1101.pkl,drop_1101.pkl,drop_1101.pkl,drop_1101.pkl,drop_947.pkl,drop_947.pkl,drop_947.pkl,drop_947.pkl,drop_1208.pkl,drop_1208.pkl,drop_1208.pkl,drop_1208.pkl,drop_790.pkl,drop_790.pkl,drop_790.pkl,drop_790.pkl,drop_428.pkl,drop_428.pkl,drop_428.pkl,drop_428.pkl,drop_459.pkl,drop_459.pkl,drop_459.pkl,drop_459.pkl
,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites
taxa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,0.04,6.391960747797611,2192.0,1433.0,0.04,6.404605895620395,2192.0,1433.0,0.04,5.991750659718927,2192.0,1433.0,0.04,0.13225528257823607,2192.0,1433.0,0.04,7.584600441555633,2192.0,1433.0,0.04,6.474784918732572,2192.0,1433.0,0.04,0.00011149719582414453,2192.0,1433.0,0.04,7.418945013887895,2192.0,1433.0,0.04,6.416832390039715,2192.0,1433.0,0.04,7.693591870676103,2192.0,1433.0,0.04,6.3534508640683285,2192.0,1433.0,0.04,7.05359682805221,2192.0,1433.0,0.04,5.202575725413354,2192.0,1433.0,0.04,7.196347532341859,2192.0,1433.0,0.04,6.778648705721339,2192.0,1433.0,0.04,8.392017617980342,2192.0,1433.0,0.04,5.455299402222057,2192.0,1433.0,0.04,6.22504345586355,2192.0,1433.0,0.04,5.978406406460143,2192.0,1433.0,0.04,5.962419917119837,2192.0,1433.0,0.04,5.886037237491933,2192.0,1433.0,0.04,8.078586227582736,2192.0,1433.0,0.04,6.242142266975365,2192.0,1433.0,0.04,7.624024783097041,2192.0,1433.0
1101,0.04,6.3141462444667384,2883.0,1858.0,0.04,6.314187263780644,2883.0,1858.0,0.04,6.314108929603305,2883.0,1858.0,0.04,7.687778279289536,2883.0,1858.0,0.04,6.314487416275657,2883.0,1858.0,0.04,6.337794636376798,2883.0,1858.0,0.04,6.606479117710543,2883.0,1858.0,0.04,6.314290884931695,2883.0,1858.0,0.04,6.3096916083159975,2883.0,1858.0,0.04,6.314148301846034,2883.0,1858.0,0.04,7.029456957495202,2883.0,1858.0,0.04,6.253624246789338,2883.0,1858.0,0.04,6.254060184890619,2883.0,1858.0,0.04,6.253590987434506,2883.0,1858.0,0.04,6.90057743305604,2883.0,1858.0,0.04,6.253669706637756,2883.0,1858.0,0.04,6.324025307391116,2883.0,1858.0,0.04,6.31417664488978,2883.0,1858.0,,,,,0.04,6.300941453129148,2883.0,1858.0,0.04,6.31424256187659,2883.0,1858.0,0.04,6.248037546992562,2883.0,1858.0,0.04,6.230428587283983,2883.0,1858.0,0.04,6.253592515441158,2883.0,1858.0
1114,0.04,2.821331181979535,2032.0,1417.0,0.04,3.660710499900534,2032.0,1417.0,0.04,3.6484584392221535,2032.0,1417.0,0.04,0.1775457987464222,2032.0,1417.0,0.04,4.00008980727862,2032.0,1417.0,0.04,4.217223209608365,2032.0,1417.0,0.04,0.19319079034950637,2032.0,1417.0,0.04,3.297378474843715,2032.0,1417.0,0.04,2.805089259057383,2032.0,1417.0,0.04,3.728013862463596,2032.0,1417.0,,,,,0.04,2.5639421452962976,2032.0,1417.0,0.04,3.075192042177961,2032.0,1417.0,0.04,3.655052728557643,2032.0,1417.0,0.04,4.217240636861697,2032.0,1417.0,0.04,3.7940603535705857,2032.0,1417.0,0.04,3.4851928556322918,2032.0,1417.0,0.04,2.388142991018449,2032.0,1417.0,0.04,3.6150978807539125,2032.0,1417.0,0.04,3.250758071231804,2032.0,1417.0,0.04,3.744287793889824,2032.0,1417.0,0.04,2.403864111205261,2032.0,1417.0,0.04,3.4748540597484676,2032.0,1417.0,0.04,3.6464251348442565,2032.0,1417.0
1174,0.04,4.778273235456428,2696.0,1791.0,0.04,4.788807372493927,2696.0,1791.0,0.04,4.631752840452046,2696.0,1791.0,0.04,4.853399881210915,2696.0,1791.0,0.04,4.766949702311339,2696.0,1791.0,0.04,4.653486598412378,2696.0,1791.0,,,,,0.04,4.668317831363596,2696.0,1791.0,0.04,4.685439060813617,2696.0,1791.0,0.04,4.788838371902098,2696.0,1791.0,0.04,4.631196513446331,2696.0,1791.0,0.04,4.789033878224928,2696.0,1791.0,0.04,4.789957278124421,2696.0,1791.0,0.04,4.765409256146928,2696.0,1791.0,0.04,4.677816826007445,2696.0,1791.0,0.04,4.632057881993072,2696.0,1791.0,0.04,5.298823860922444,2696.0,1791.0,0.04,4.471052690988006,2696.0,1791.0,0.04,4.788839843831254,2696.0,1791.0,0.04,4.632081051692518,2696.0,1791.0,0.04,4.632299387408044,2696.0,1791.0,0.04,4.752568209020758,2696.0,1791.0,0.04,4.788782395268728,2696.0,1791.0,0.04,4.622644765035189,2696.0,1791.0
1208,0.04,1.3118759552750225,2635.0,1734.0,0.04,1.2241836833181226,2635.0,1734.0,0.04,1.1291454951169104,2635.0,1734.0,0.04,0.9786106677580433,2635.0,1734.0,0.04,1.209726946252452,2635.0,1734.0,0.04,1.7096955666514233,2635.0,1734.0,0.04,1.0161755884294315,2635.0,1734.0,0.04,1.1929264672110176,2635.0,1734.0,0.04,1.2006203954483277,2635.0,1734.0,0.04,1.225335295083914,2635.0,1734.0,0.04,1.3817383514712143,2635.0,1734.0,0.04,1.9467723614071686,2635.0,1734.0,0.04,1.6516317275683337,2635.0,1734.0,0.04,1.478569492828088,2635.0,1734.0,0.04,1.2707546155295186,2635.0,1734.0,0.04,1.135634553703199,2635.0,1734.0,0.04,0.8064446029389308,2635.0,1734.0,0.04,1.169931628285413,2635.0,1734.0,0.04,1.231225615439135,2635.0,1734.0,0.04,1.1339941979042014,2635.0,1734.0,,,,,0.04,1.2254001547918534,2635.0,1734.0,0.04,1.1664129079891021,2635.0,1734.0,0.04,1.2248065371707513,2635.0,1734.0
1234,0.04,11.57835600467021,2805.0,1837.0,0.04,11.663137045950535,2805.0,1837.0,0.04,11.729194940982238,2805.0,1837.0,,,,,0.04,12.427409222649302,2805.0,1837.0,0.04,10.225511490317766,2805.0,1837.0,0.04,14.733830680878137,2805.0,1837.0,0.04,12.082155227641888,2805.0,1837.0,0.04,11.463149094880526,2805.0,1837.0,0.04,11.517346883793605,2805.0,1837.0,0.04,11.96830025577019,2805.0,1837.0,0.04,11.883421179049856,2805.0,1837.0,0.04,11.958247786413233,2805.0,1837.0,0.04,11.803757507409877,2805.0,1837.0,0.04,12.577156554771788,2805.0,1837.0,0.04,11.387199688039665,2805.0,1837.0,0.04,11.470524258445991,2805.0,1837.0,0.04,12.893068208525207,2805.0,1837.0,0.04,11.798617973703532,2805.0,1837.0,0.04,11.799187776321789,2805.0,1837.0,0.04,11.686567993734203,2805.0,1837.0,0.04,11.452982550510042,2805.0,1837.0,0.04,11.803642709430857,2805.0,1837.0,0.04,11.555725143270532,2805.0,1837.0
1252,0.04,4.236073990054864,2312.0,1577.0,0.04,4.305396569398089,2312.0,1577.0,0.04,4.305631183730074,2312.0,1577.0,0.04,4.3066908609058245,2312.0,1577.0,0.04,4.2046573827218285,2312.0,1577.0,,,,,0.04,4.2558340675312225,2312.0,1577.0,0.04,4.234222724430748,2312.0,1577.0,0.04,4.221446677067861,2312.0,1577.0,0.04,4.156037184127483,2312.0,1577.0,0.04,4.570140496567133,2312.0,1577.0,0.04,4.324296161748227,2312.0,1577.0,0.04,4.305640166483974,2312.0,1577.0,0.04,4.502405655198063,2312.0,1577.0,0.04,4.218522797012553,2312.0,1577.0,0.04,4.170595989145863,2312.0,1577.0,0.04,4.311123948013684,2312.0,1577.0,0.04,4.579686317157737,2312.0,1577.0,0.04,4.305614591718051,2312.0,1577.0,0.04,4.305828122487366,2312.0,1577.0,0.04,4.363234342346308,2312.0,1577.0,0.04,4.155388746840763,2312.0,1577.0,0.04,4.3056273019623665,2312.0,1577.0,0.04,4.146404425612921,2312.0,1577.0
1334,0.04,4.349103811823657,2543.0,1658.0,0.04,4.091195535178845,2543.0,1658.0,0.04,4.12952272328009,2543.0,1658.0,0.04,3.998601022048615,2543.0,1658.0,0.04,4.152363111506592,2543.0,1658.0,0.04,5.009229158856168,2543.0,1658.0,0.04,4.064724231481656,2543.0,1658.0,0.04,4.281750056361643,2543.0,1658.0,0.04,4.192633036436735,2543.0,1658.0,0.04,4.1446211154960535,2543.0,1658.0,0.04,5.375730152894889,2543.0,1658.0,0.04,4.009694528317191,2543.0,1658.0,0.04,4.436689133714526,2543.0,1658.0,,,,,0.04,4.8798208755784795,2543.0,1658.0,0.04,3.9651532064743877,2543.0,1658.0,0.04,4.49797134162402,2543.0,1658.0,0.04,4.196796114924724,2543.0,1658.0,0.04,4.0968678921664425,2543.0,1658.0,0.04,4.07403647844348,2543.0,1658.0,0.04,4.048615552202465,2543.0,1658.0,0.04,4.145427637827216,2543.0,1658.0,0.04,4.055430795277549,2543.0,1658.0,0.04,4.2656248961835574,2543.0,1658.0
1338,0.04,10.863189357285423,2268.0,1507.0,0.04,10.916693807481902,2268.0,1507.0,0.04,10.951213774728444,2268.0,1507.0,0.04,13.368490448921294,2268.0,1507.0,0.04,12.071344661053379,2268.0,1507.0,0.04,9.674830348578457,2268.0,1507.0,0.04,10.868279621938939,2268.0,1507.0,,,,,0.04,10.636982767054938,2268.0,1507.0,0.04,10.787348093810975,2268.0,1507.0,0.04,10.627623140026103,2268.0,1507.0,0.04,11.069137412757692,2268.0,1507.0,0.04,11.152232439002482,2268.0,1507.0,0.04,11.048422413702305,2268.0,1507.0,0.04,11.01220321249563,2268.0,1507.0,0.04,10.57168780600382,2268.0,1507.0,0.04,10.801893349911433,2268.0,1507.0,0.04,12.028176701564105,2268.0,1507.0,0.04,11.02555668144937,2268.0,1507.0,0.04,10.979270080338418,2268.0,1507.0,0.04,10.886453999774591,2268.0,1507.0,0.04,10.66575463551016,2268.0,1507.0,0.04,11.003642536536463,2268.0,1507.0,0.04,10.78519892272511,2268.0,1507.0
1350,0.04,2.018012266354712,2234.0,1532.0,0.04,2.017978986486555,2234.0,1532.0,0.04,2.017998785610957,2234.0,1532.0,0.04,1.996085239736474,2234.0,1532.0,0.04,2.018377334278211,2234.0,1532.0,0.04,2.1425683044356925,2234.0,1532.0,0.04,1.9952412365997496,2234.0,1532.0,0.04,2.0375149148287033,2234.0,1532.0,0.04,2.0074989235360556,2234.0,1532.0,0.04,2.018012638468317,2234.0,1532.0,0.04,2.028078387932136,2234.0,1532.0,0.04,2.1915940041722424,2234.0,1532.0,0.04,2.162855845993513,2234.0,1532.0,0.04,2.2677410305132977,2234.0,1532.0,0.04,2.0199741122395127,2234.0,1532.0,,,,,0.04,2.0136803194453043,2234.0,1532.0,0.04,2.2015801826499035,2234.0,1532.0,0.04,2.0180074016322793,2234.0,1532.0,0.04,2.0180036423001853,2234.0,1532.0,0.04,2.0941117521596735,2234.0,1532.0,0.04,1.95824602075034,2234.0,1532.0,0.04,2.017988636913902,2234.0,1532.0,0.04,2.018136748860124,2234.0,1532.0
1357,0.04,6.64870770647492,2506.0,1629.0,,,,,0.04,6.587974058606137,2506.0,1629.0,0.04,6.635252437738988,2506.0,1629.0,0.04,6.649271361691275,2506.0,1629.0,0.04,6.62313099397075,2506.0,1629.0,0.04,6.641520333260347,2506.0,1629.0,0.04,6.650280142544826,2506.0,1629.0,0.04,6.627506808505648,2506.0,1629.0,0.04,6.54193639198866,2506.0,1629.0,0.04,6.528973178958142,2506.0,1629.0,0.04,6.649576086923479,2506.0,1629.0,0.04,6.505654686819173,2506.0,1629.0,0.04,6.648714709902137,2506.0,1629.0,0.04,6.6413182190844395,2506.0,1629.0,0.04,6.414858115156832,2506.0,1629.0,0.04,6.554121073206698,2506.0,1629.0,0.04,6.622795556299158,2506.0,1629.0,0.04,6.464894646655037,2506.0,1629.0,0.04,6.648719323836209,2506.0,1629.0,0.04,6.441227678279926,2506.0,1629.0,0.04,6.594783698134968,2506.0,1629.0,0.04,6.596608715762208,2506.0,1629.0,0.04,6.421025895933883,2506.0,1629.0
