tradeoff,community_growth,objective_value,status
1.0,7.5344164039890344,-1829681.224499532,numeric
0.9,6.780964763534291,-1289250.0460539463,optimal
0.8,6.027513147648978,-989772.2005300882,numeric
0.7,5.2740614852968255,-758870.4376660138,numeric
0.6,4.520609842364642,-566072.008063709,numeric
0.5,3.767158201970958,-388323.9167212899,numeric
0.4,3.0137065615716936,-245226.40567137543,numeric
0.3,2.260254921462764,-137942.99610507727,numeric
0.2,1.5068032826575777,-61313.48722201351,numeric
0.1,0.7533516419154361,-15333.34703105951,numeric
0.0,0.0019196394484901776,-0.10256074898917933,numeric
