compartments,abundance,growth_rate,reactions,metabolites,tradeoff
100,0.037037037037037035,7.040966922460097,2180,1434,0.9
1018,0.037037037037037035,7.042575277817648,2977,1907,0.9
1056,0.037037037037037035,7.042575278081041,2824,1808,0.9
1124,0.037037037037037035,0.00010000066603019105,2164,1415,0.9
1167,0.037037037037037035,7.042575277425618,1939,1267,0.9
1174,0.037037037037037035,7.04096692293297,2696,1791,0.9
1234,0.037037037037037035,7.042575279493711,2805,1837,0.9
1334,0.037037037037037035,7.040966922288662,2543,1658,0.9
1391,0.037037037037037035,7.040966923014649,2177,1435,0.9
1432,0.037037037037037035,7.042575278140388,2982,1920,0.9
161,0.037037037037037035,7.040966923105812,2901,1898,0.9
163,0.037037037037037035,7.042575277205256,2678,1700,0.9
230,0.037037037037037035,7.040966922462867,2227,1483,0.9
2774,0.037037037037037035,7.040966922563222,2176,1452,0.9
2862,0.037037037037037035,7.040966922928642,2690,1756,0.9
2872,0.037037037037037035,7.04096692222375,2215,1504,0.9
352,0.037037037037037035,7.040966923716746,2776,1811,0.9
364,0.037037037037037035,7.042575279985373,2445,1661,0.9
504,0.037037037037037035,7.042575279545787,2781,1836,0.9
644,0.037037037037037035,7.042475277643957,2783,1851,0.9
761,0.037037037037037035,7.04096692335912,2726,1795,0.9
778,0.037037037037037035,7.042575278079334,2910,1875,0.9
793,0.037037037037037035,7.040966922770704,2905,1878,0.9
867,0.037037037037037035,7.040966922633262,2173,1456,0.9
868,0.037037037037037035,7.042575278133839,2619,1688,0.9
892,0.037037037037037035,7.0425752799155585,2920,1878,0.9
946,0.037037037037037035,7.0425752780854625,2994,1913,0.9
medium,,,569,569,0.9
