,focal,partner,reaction,class,flux
0,1334,161,EX_25dkglcn_e,co-consumed,1.1122782599250791e-06
1,1334,161,EX_4abut_e,co-consumed,0.2094363277380385
2,1334,161,EX_5drib_e,co-consumed,1.523362132101233e-06
3,1334,161,EX_acac_e,received,1.2411060445883664e-06
4,1334,161,EX_acald_e,provided,1.6520561723e-05
5,1334,161,EX_ala__L_e,co-consumed,2.108407097423211e-06
6,1334,161,EX_ala_his_e,received,1.4087388167642824e-06
7,1334,161,EX_arg__L_e,co-consumed,0.06826385266551879
8,1334,161,EX_asp__L_e,received,1.1889579281872979e-06
9,1334,161,EX_bz_e,co-consumed,2.2202114533069232e-05
10,1334,161,EX_ca2_e,co-consumed,0.0012012220939511
11,1334,161,EX_cellb_e,provided,2.1503990932701516e-06
12,1334,161,EX_cit_e,co-consumed,0.0014447745074116231
13,1334,161,EX_cl_e,co-consumed,0.0012012221395426115
14,1334,161,EX_cobalt2_e,co-consumed,2.307823480048077e-05
15,1334,161,EX_crn_e,co-consumed,1.0742355263878697e-06
16,1334,161,EX_cu2_e,co-consumed,0.0001636246847355
17,1334,161,EX_cys__L_e,received,0.007664087297843604
18,1334,161,EX_fe2_e,co-consumed,0.0015495513976264462
19,1334,161,EX_fe3_e,co-consumed,0.0001775160016819923
20,1334,161,EX_fe3dcit_e,received,1.0855696109716979e-06
21,1334,161,EX_fe3pyovd_kt_e,provided,5.6245954038388466e-05
22,1334,161,EX_fru_e,co-consumed,1.998439181506923e-05
23,1334,161,EX_fum_e,co-consumed,1.0277115689446918e-06
24,1334,161,EX_glc__D_e,co-consumed,6.245775941846154e-06
25,1334,161,EX_glcur_e,provided,1.6112471836798823e-06
26,1334,161,EX_glu__L_e,received,1.2439699748875525e-06
27,1334,161,EX_gly_asn__L_e,co-consumed,0.05041316542276079
28,1334,161,EX_gly_e,received,1.0826890333139525e-06
29,1334,161,EX_glyald_e,co-consumed,0.0045963990712413385
30,1334,161,EX_glyc_e,provided,1.1922162255076116
31,1334,161,EX_glygln_e,co-consumed,0.2070006542017255
32,1334,161,EX_gsn_e,received,8.440625029534616e-06
33,1334,161,EX_h2o_e,received,2.7238127161736734
34,1334,161,EX_h2s_e,received,0.10705927726263272
35,1334,161,EX_h_e,co-consumed,1.0167945260993354
36,1334,161,EX_hexs_e,received,1.0651990753965185e-06
37,1334,161,EX_his__L_e,received,2.183253712620377e-06
38,1334,161,EX_hxan_e,received,7.638946420334616e-06
39,1334,161,EX_ile__L_e,co-consumed,3.5981613529945235e-06
40,1334,161,EX_inost_e,co-consumed,2.4347636972703317e-06
41,1334,161,EX_istfrnA_e,provided,5.896014369809231e-05
42,1334,161,EX_istfrnB_e,provided,6.083517118032308e-05
43,1334,161,EX_k_e,co-consumed,0.045047098854105926
44,1334,161,EX_lnlc_e,received,4.590508303434231e-05
45,1334,161,EX_lys__L_e,provided,2.1925373776901084e-06
46,1334,161,EX_mal__L_e,co-consumed,2.435283127911758e-06
47,1334,161,EX_malt_e,co-consumed,0.056738941900518106
48,1334,161,EX_malthp_e,provided,1.4219716848849426e-06
49,1334,161,EX_malthx_e,provided,1.3189682014105547e-06
50,1334,161,EX_mg2_e,co-consumed,0.00200203686590275
51,1334,161,EX_mn2_e,co-consumed,0.0001594706024713308
52,1334,161,EX_mnl_e,received,1.565709399196498e-06
53,1334,161,EX_no3_e,provided,2.7314704992949143e-06
54,1334,161,EX_no_e,received,3.3547775242394544e-06
55,1334,161,EX_o2_e,co-consumed,3.84615362881746
56,1334,161,EX_orn_e,received,0.05100767057651908
57,1334,161,EX_peamn_e,received,1.2230415880173342e-06
58,1334,161,EX_pheme_e,provided,2.037203969611639e-06
59,1334,161,EX_pi_e,co-consumed,0.2633558270158618
