tradeoff,community_growth,objective_value,status
0.0,0.0018195374169704447,26.55663608856344,numeric
0.1,0.753351646434263,11320.867442893865,numeric
0.2,1.5068033056267764,22972.31436081637,numeric
0.3,2.2602549211797265,34650.67689735347,optimal
0.4,3.013706561582847,46340.10670499214,optimal
0.5,3.767158202003849,58182.44974563849,optimal
0.6,4.520609842406482,70157.92393559354,optimal
0.7,5.274061482799195,82485.08580042158,optimal
0.8,6.0275142806964155,96690.88864854693,numeric
0.9,6.780964763580721,122722.21980581347,optimal
1.0,7.534438744858951,206897.36409788157,numeric
