compartments,abundance,growth_rate,reactions,metabolites,tradeoff
100,0.037037037037037035,5.558616879765482,2180,1434,0.5
1018,0.037037037037037035,0.0,2977,1907,0.5
1056,0.037037037037037035,0.0,2824,1808,0.5
1124,0.037037037037037035,0.0,2164,1415,0.5
1167,0.037037037037037035,5.802730117276746,1939,1267,0.5
1174,0.037037037037037035,1.1789811298860902,2696,1791,0.5
1234,0.037037037037037035,0.5018975273379632,2805,1837,0.5
1334,0.037037037037037035,0.0,2543,1658,0.5
1391,0.037037037037037035,5.900153056239332,2177,1435,0.5
1432,0.037037037037037035,5.800098281774105,2982,1920,0.5
161,0.037037037037037035,0.6473998224060448,2901,1898,0.5
163,0.037037037037037035,5.575209504208044,2678,1700,0.5
230,0.037037037037037035,5.128086150976113,2227,1483,0.5
2774,0.037037037037037035,2.747240401426021,2176,1452,0.5
2862,0.037037037037037035,0.0,2690,1756,0.5
2872,0.037037037037037035,0.0,2215,1504,0.5
352,0.037037037037037035,0.0,2776,1811,0.5
364,0.037037037037037035,6.853448142666511,2445,1661,0.5
504,0.037037037037037035,5.910023868743682,2781,1836,0.5
644,0.037037037037037035,5.341520055723932,2783,1851,0.5
761,0.037037037037037035,0.0,2726,1795,0.5
778,0.037037037037037035,6.256237078559346,2910,1875,0.5
793,0.037037037037037035,5.408129221038738,2905,1878,0.5
867,0.037037037037037035,5.5711703207358045,2173,1456,0.5
868,0.037037037037037035,6.2313812159765325,2619,1688,0.5
892,0.037037037037037035,15.20141394188577,2920,1878,0.5
946,0.037037037037037035,6.112278624650189,2994,1913,0.5
medium,,,569,569,0.5
