compartments,abundance,growth_rate,reactions,metabolites,tradeoff
1080,0.038461538461538464,6.4423794313440075,2192,1433,1.0
1101,0.038461538461538464,6.308295259115464,2883,1858,1.0
1114,0.038461538461538464,3.6338395328975532,2032,1417,1.0
1174,0.038461538461538464,4.781638916858958,2696,1791,1.0
1208,0.038461538461538464,1.052137288814686,2635,1734,1.0
1234,0.038461538461538464,11.961757134026644,2805,1837,1.0
1252,0.038461538461538464,4.305692838756393,2312,1577,1.0
1334,0.038461538461538464,4.117348274987428,2543,1658,1.0
1338,0.038461538461538464,11.15650279091532,2268,1507,1.0
1350,0.038461538461538464,2.0182972551867904,2234,1532,1.0
1357,0.038461538461538464,6.60552669981473,2506,1629,1.0
1362,0.038461538461538464,11.38974273919544,2351,1575,1.0
262,0.038461538461538464,11.443760874219048,2236,1488,1.0
2751,0.038461538461538464,0.455609193482001,2356,1527,1.0
397,0.038461538461538464,5.735978987813633,2866,1871,1.0
428,0.038461538461538464,6.314362856290432,2744,1785,1.0
459,0.038461538461538464,6.135288980005548,3028,1970,1.0
638,0.038461538461538464,9.882182447125489,2269,1566,1.0
709,0.038461538461538464,2.377138727669449,2186,1418,1.0
790,0.038461538461538464,5.708824279157056,2671,1715,1.0
796,0.038461538461538464,5.352635131488058,2725,1866,1.0
895,0.038461538461538464,4.55031274011388,2258,1557,1.0
939,0.038461538461538464,7.6074756017426255,2424,1617,1.0
947,0.038461538461538464,5.726100168558907,2301,1599,1.0
978,0.038461538461538464,3.5579179544329973,2251,1532,1.0
997,0.038461538461538464,5.974039596602627,2872,1879,1.0
medium,,,578,578,1.0
