,focal,partner,reaction,class,flux
0,1208,1334,EX_4abut_e,co-consumed,2.3684739172160185
1,1208,1334,EX_arg__L_e,co-consumed,0.010515392853133068
2,1208,1334,EX_ca2_e,co-consumed,0.000185037459311756
3,1208,1334,EX_cit_e,co-consumed,0.000679406253194092
4,1208,1334,EX_cl_e,co-consumed,0.00018503746083356002
5,1208,1334,EX_cobalt2_e,co-consumed,3.554994415211502e-06
6,1208,1334,EX_cu2_e,co-consumed,2.5204910403848e-05
7,1208,1334,EX_cys__L_e,co-consumed,0.0032636170591681004
8,1208,1334,EX_fe2_e,co-consumed,0.00023873883590635602
9,1208,1334,EX_fe3_e,co-consumed,0.2529801586337414
10,1208,1334,EX_glu__L_e,provided,1.0558889299769023e-06
11,1208,1334,EX_glyald_e,co-consumed,3.999990733844301
12,1208,1334,EX_gthrd_e,co-consumed,1.16268181321189e-06
13,1208,1334,EX_h2o_e,co-consumed,0.44188172090410993
14,1208,1334,EX_h2s_e,co-consumed,0.00547056092920584
15,1208,1334,EX_h_e,provided,1.0810525813379293
16,1208,1334,EX_ile__L_e,co-consumed,0.011053439265323308
17,1208,1334,EX_k_e,co-consumed,0.006939100248883789
18,1208,1334,EX_lys__L_e,received,0.012199306937354772
19,1208,1334,EX_malt_e,co-consumed,0.015817809174526198
20,1208,1334,EX_mg2_e,co-consumed,0.000308395771808992
21,1208,1334,EX_mn2_e,co-consumed,2.4565011409108002e-05
22,1208,1334,EX_o2_e,co-consumed,3.9999999827833617
23,1208,1334,EX_orn_e,provided,0.02841741718383033
24,1208,1334,EX_pi_e,co-consumed,0.04983466476348048
25,1208,1334,EX_pyovd_kt_e,co-consumed,0.08157885504853672
26,1208,1334,EX_ser__L_e,co-consumed,1.7034911899794256
27,1208,1334,EX_so4_e,co-consumed,0.00015421954251966
28,1208,1334,EX_stfrnA_e,co-consumed,0.08557217889577441
29,1208,1334,EX_stfrnB_e,co-consumed,0.08555159790369211
30,1208,1334,EX_tyr__L_e,co-consumed,0.004910088625336588
31,1208,1334,EX_zn2_e,co-consumed,1.2122530955867999e-05
32,1208,397,EX_arg__L_e,co-consumed,0.010515392853133068
33,1208,397,EX_asn__L_e,co-consumed,0.008569462400046269
34,1208,397,EX_ca2_e,co-consumed,0.000185037459311756
35,1208,397,EX_cit_e,co-consumed,0.5061314848144136
36,1208,397,EX_cl_e,co-consumed,0.00018503746083356002
37,1208,397,EX_cobalt2_e,co-consumed,3.554994415211502e-06
38,1208,397,EX_cu2_e,co-consumed,2.5204910403848e-05
39,1208,397,EX_cys__L_e,co-consumed,0.0032636170591681004
40,1208,397,EX_fe2_e,co-consumed,0.00023873883590635602
41,1208,397,EX_fe3_e,co-consumed,0.2529801586337414
42,1208,397,EX_glyc_e,provided,0.18638663939230632
43,1208,397,EX_glygln_e,co-consumed,0.05348671039292357
44,1208,397,EX_h2o_e,received,0.44188172090410993
