tradeoff,community_growth,objective_value,status
0.0,0.0,0.0,optimal
0.1,0.5946092765889699,7087.883449012819,optimal
0.2,1.1892195531779397,14438.974348764375,optimal
0.3,1.7838298297669093,22322.165616465925,optimal
0.5,2.9730503829448462,40202.78764773749,optimal
0.6,3.567660659533819,51413.437215547485,optimal
0.7,4.162270936122788,64731.563353122336,optimal
0.8,4.756881212711758,80627.04791383179,optimal
0.9,5.351491489300729,110257.98654277032,optimal
1.0,5.9461017658897,215937.58438856291,optimal
