taxon,count_uptakes,sum_flux_uptakes,count_secretions,sum_flux_secretions
100,162,-122.88389339380836,85,180.52379078211735
1167,146,-127.44110817916636,77,198.24123713332827
163,174,-157.6247216296987,119,347.25573102322295
1056,178,-164.22552458962653,123,90.62840962580728
868,148,-166.9405120757397,134,180.86437176264232
1174,157,-190.97662251839955,115,463.58497997817767
2774,151,-195.13091474852882,91,374.00759013706744
946,186,-199.90698962199397,135,159.33714688948922
778,186,-219.390857428478,136,141.84048852054553
230,150,-226.69283306655083,97,294.18340454227393
867,158,-236.6737353974812,91,295.1233153088019
1432,183,-253.97937514420252,142,383.0650837187517
1391,164,-261.15498760876335,87,283.55166036456524
2862,159,-263.5981047195255,153,353.73761470805124
644,166,-266.34922284226474,148,197.10483491128335
1018,171,-266.61889637552395,150,356.34914160333517
1234,153,-272.6619428110369,147,1112.5250994955281
793,191,-273.0818102395486,140,496.8233851968172
761,175,-283.7637872504907,143,480.82729203005135
161,185,-331.5380461547002,162,562.8167630168624
1124,140,-379.2443239412601,109,695.450652802036
892,192,-385.59232768093074,131,357.78768356326475
504,168,-402.2018139579987,151,1072.2451769658835
2872,139,-408.6291418812639,113,710.2714191641749
1334,154,-843.0957288359842,135,1705.3225053884091
352,160,-86.36227291265834,126,145.3322271855181
364,143,-929.7115750184711,150,1791.5727768674847
