,0
EX_4abut_m,10.0
EX_acmana_m,3.4992021004444454e-05
EX_acon_C_m,0.1
EX_ala__L_m,10.0
EX_asn__L_m,0.00026781183716111106
EX_asp__L_m,10.0
EX_ca2_m,1000.0
EX_cit_m,10.0
EX_cl_m,1000.0
EX_cobalt2_m,1000.0
EX_cu2_m,1000.0
EX_fe2_m,1000.0
EX_fe3_m,1000.0
EX_fru_m,10.0
EX_fum_m,10.0
EX_glc__D_m,10.0
EX_glu__L_m,10.0
EX_gly_m,10.0
EX_glyc_m,10.0
EX_h2o_m,1000.0
EX_h_m,1000.0
EX_ile__L_m,10.0
EX_k_m,1000.0
EX_leu__L_m,10.0
EX_mal__L_m,10.0
EX_malt_m,10.0
EX_mg2_m,1000.0
EX_mn2_m,1000.0
EX_mobd_m,1000.0
EX_na1_m,1000.0
EX_nh4_m,1000.0
EX_ni2_m,1000.0
EX_o2_m,1000.0
EX_pi_m,1000.0
EX_pro__L_m,0.1
EX_quin_m,10.0
EX_ser__L_m,10.0
EX_skm_m,0.1
EX_so4_m,1000.0
EX_sucr_m,0.1
EX_thr__L_m,0.1
EX_tyr__L_m,5.106743426074074e-05
EX_val__L_m,10.0
EX_zn2_m,1000.0
EX_succ_m,10.0
EX_R_3httdca_m,0.00014410396254814817
EX_dachi_m,1.7496010502222227e-05
EX_acgam1p_m,3.4992021004444454e-05
EX_tym_m,10.0
EX_uacgam_m,3.4992021004444454e-05
