MS.Label,date,Sample.label.on.tube,Species,Tissue.type,Condition.1,Condition.2,exp,prtcl,Technical.replicate,Biological.replicate,Harvested.culture.volume.[ml],Culture.age.[passage.number].**,GroupVar,Compound,ISTD,Resp,ISTD.Resp,Resp.Ratio,Acq.Method.Condensed
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,2-keto-gluconate_UK_13.6,Ribitol,"830,163.61","356,619.12",2.33,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,2-keto-gluconate_UK_13.6,Ribitol,"1,128,818.48","451,269.03",2.50,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,2-keto-gluconate_UK_13.76,Ribitol,"283,569.52","356,619.12",0.80,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,2-keto-gluconate_UK_13.76,Ribitol,"394,913.04","451,269.03",0.88,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,5-OH-Tryptophan_UK,Ribitol,"2,033,994.54","356,619.12",5.70,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,5-OH-Tryptophan_UK,Ribitol,"1,084,755.88","451,269.03",2.40,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,5-oxoproline_UK_11.18,Ribitol,"564,166.72","356,619.12",1.58,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,5-oxoproline_UK_11.18,Ribitol,"519,561.37","451,269.03",1.15,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,aconitate_UK_13.33,Ribitol,"4,610.19","356,619.12",0.01,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,aconitate_UK_13.33,Ribitol,"5,119.41","451,269.03",0.01,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,alpha-Alanine,Ribitol,"505,966.10","356,619.12",1.42,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,alpha-Alanine,Ribitol,"551,967.79","451,269.03",1.22,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Aspartate,Ribitol,"460,672.52","356,619.12",1.29,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Aspartate,Ribitol,"158,782.69","451,269.03",0.35,split
22-0023_125,230524,125,Hordeum vulgare (AF mock),"apoplastic fluid from mock roots, 7 dpi","crude extract, in CHCl3",,4,4,3,3,"0,9",7dpi,"Hordeum vulgare (AF mock)_apoplastic fluid from mock roots, 7 dpi",Beta_Sitosterol,Cholesterol_TMS,"1,920,480.89","1,509.99","1,271.85",splitless
22-0023_125,230524,125,Hordeum vulgare (AF mock),"apoplastic fluid from mock roots, 7 dpi","crude extract, in CHCl3",,4,4,3,3,"0,9",7dpi,"Hordeum vulgare (AF mock)_apoplastic fluid from mock roots, 7 dpi",Campesterol_TMS,Cholesterol_TMS,"1,189,252.73","1,509.99",787.59,splitless
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Citrate+Isocitrate,Ribitol,"1,046,377.51","356,619.12",2.93,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Citrate+Isocitrate,Ribitol,"946,007.38","451,269.03",2.10,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,deoxyfructosazin_UK_19.99,Ribitol,"157,704.13","356,619.12",0.44,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,deoxyfructosazin_UK_19.99,Ribitol,"342,251.28","451,269.03",0.76,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,DMPA,Ribitol,"256,740.12","356,619.12",0.72,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,DMPA,Ribitol,"303,830.89","451,269.03",0.67,split
22-0023_125,230524,125,Hordeum vulgare (AF mock),"apoplastic fluid from mock roots, 7 dpi","crude extract, in CHCl3",,4,4,3,3,"0,9",7dpi,"Hordeum vulgare (AF mock)_apoplastic fluid from mock roots, 7 dpi",Ergosterol_TMS,Cholesterol_TMS,634.82,"1,509.99",0.42,splitless
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Fructose,Ribitol,"5,882,904.55","356,619.12",16.50,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Fructose,Ribitol,"3,831,258.71","451,269.03",8.49,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Fumarate,Ribitol,"150,521.57","356,619.12",0.42,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Fumarate,Ribitol,"163,875.02","451,269.03",0.36,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Gaba,Ribitol,"788,491.27","356,619.12",2.21,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Gaba,Ribitol,"887,000.84","451,269.03",1.97,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,galactarate_UK_14.14,Ribitol,"318,158.45","356,619.12",0.89,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,galactarate_UK_14.14,Ribitol,"455,124.02","451,269.03",1.01,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Glucose,Ribitol,"2,638,359.62","356,619.12",7.40,split
