Original Compound Name,BiGG Exchange Reaction
alpha-Alanine,EX_ala__L_e
Asparagine,EX_asn__L_e
Aspartate,EX_asp__L_e
Gaba,EX_4abut_e
Gln_deriv_UK,EX_gln__L_e
Glutamate,EX_glu__L_e
Glutamine_UK_13.48,EX_gln__L_e
Glycine,EX_gly_e
Isoleucine,EX_ile__L_e
Leucine,EX_leu__L_e
Lysine,EX_lys__L_e
Phenylalanine,EX_phe__L_e
Proline,EX_pro__L_e
Serine,EX_ser__L_e
Threonine,EX_thr__L_e
tyramine_UK_11.19,EX_tym_e
Valine,EX_val__L_e
3PGA,EX_3pg_e
aconitate_UK_13.33,EX_acon_C_e
alpha-Ketoglutarate,EX_akg_e
Citrate+Isocitrate,EX_cit_e
Fumarate,EX_fum_e
Glycerate,EX_glycrt_e
Glycolate,EX_glycol_e
Malate,EX_mal__L_e
Maleate,EX_male_e
Pyruvate,EX_pyr_e
Succinate,EX_succ_e
erythrol_UK,EX_eryth_e
Fructose,EX_fru_e
Glucose,EX_glc__D_e
Glycerol,EX_glyc_e
Gly-3-P,EX_g3p_e
Maltose,EX_malt_e
Myoinositol,EX_mi_oind_e
Raffinose,EX_raff_e
Sucrose,EX_sucr_e
2-keto-gluconate_UK_13.6,EX_2kgnd_e
2-keto-gluconate_UK_13.76,EX_2kgnd_e
5-oxoproline_UK_11.18,EX_oph_e
galactarate_UK_14.14,EX_gltar_e
Homoserine_UK,EX_hser__L_e
hydroxyglutarate,EX_2hg_e
quinate_UK_14.438,EX_quin_e
ribonate_UK,EX_ribn_e
Shikimate,EX_skm_e
Threonate_UK_11.7,EX_threone_e
Beta_Sitosterol,EX_sitost_e
Campesterol_TMS,EX_campst_e
Ergosterol_TMS,EX_ergst_e
Stigmasterol_TMS,EX_stigmast_e
OH-Me-glutarate_UK_1,EX_hmg_e
OH-Me-glutarate_UK_2,EX_hmg_e
pentol_uk,EX_xylt_e
5-OH-Tryptophan_UK,EX_5htrp_e
Stigmast-5-ene,EX_stigmast_e
Stigmastanol_TMS,EX_stigmast_e
glyceryl-glucosid,Exclude
